// Label ranges in Scanner and Retro scale
// name, minFreq, maxFreq, color
// 16 blue, 1024 green, 1040 cyan, 32768 red, 32784 magenta, 33792 yellow, 33808 gray

2200m,  135.7,  137.8,  1024    //2200m

CW,     1810,   1838,   1024    //160m CW
DIGI,   1838,   1843,   32784   //160m DIGI
SSB,    1843,   2000,   33792   //160m SSB

CW,     3500,   3580,   1024    //80m CW
DIGI,   3580,   3620,   32784   //80m DIGI
SSB,    3620,   3775,   33792   //80m SSB
DX,     3775,   3800,   1040    //80m SSB DX

CW,     7000,   7040,   1024    //40m CW
DIGI,   7040,   7060,   32784   //40m DIGI
SSB,    7060,   7175,   33792   //40m SSB
DX,     7175,   7200,   1040    //40m SSB DX

CW,     10100,  10140,  1024    //30m CW
DIGI,   10140,  10150,  32784   //30m DIGI

CW,     14000,  14070,  1024    //20m CW
DIGI,   14070,  14112,  32784   //20m DIGI
^,      14099,  14101,  16      //20m маяки
SSB,    14112,  14350,  33792   //20m SSB

CW,     18068,  18095,  1024    //17m CW
DIGI,   18095,  18120,  32784   //17m DIGI
^,      18109,  18111,  16      //17m маяки
SSB,    18120,  18168,  33792   //17m SSB

CW,     21000,  21070,  1024    //15m CW
DIGI,   21070,  21149,  32784   //15m DIGI
AM,     21110,  21120,  32768   //15m кроме SSB
^,      21149,  21151,  16      //15m маяки
SSB,    21151,  21450,  33792   //15m SSB

CW,     24890,  24915,  1024    //12m CW
DIGI,   24915,  24940,  32784   //12m DIGI
^,      24929,  24931,  16      //12m маяки
SSB,    24940,  24990,  33792   //12m SSB

CW,     28000,  28070,  1024    //10m CW
DIGI,   28070,  28190,  32784   //10m DIGI
маяки,  28190,  28225,  16      //10m маяки
SSB,    28225,  28300,  33792   //10m SSB
DIGI,   28300,  28320,  32784   //10m DIGI
SSB,    28320,  29100,  33792   //10m SSB
FM,     29100,  29200,  1040    //10m FM
DIGI,   29200,  29300,  32784   //10m FM DIGI
SAT,    29300,  29510,  33808   //10m космическая связь
FM,     29520,  29700,  1040    //10m FM

OIRT,   65.90,  74.00,  1040    //OIRT
FM,     87.50,  108.00, 1040    //FM
